Course Name,Job Mapping 1,Job Mapping 2
METROLOGY & MECHANICAL MEASUREMENTS,Healthcare Data Analyst,Pharmaceutical Scientist
MATERIAL SCIENCE,Cybersecurity Specialist,Network Engineer
MECHANICS OF MATERIALS,Bioinformatics Scientist,Biostatistician
MANUFACTURING PROCESSES,Automation Specialist,Web Developer
MATHEMATICS FOR ENGINEERING APPLICATIONS-I,Business Analyst,Product Manager
DATA STRUCTURES,Construction Manager,Urban Planner
AUTOMATA THEORY,AI Specialist,Bioinformatics Scientist
DISCRETE MATHEMATICS,Business Analyst,Product Manager
ANALOG ELECTRONICS,Construction Manager,Urban Planner
CONTROL SYSTEMS ,DevOps Engineer,Cloud Architect
ELECTRONICS COMMUNICATION,AI Specialist,Bioinformatics Scientist
DATA STRUCTURES & ALGORITHMS,Pharmaceutical Scientist,UX Designer
DISCRETE STRUCTURE AND GRAPH THEORY,Embedded Systems Engineer,Machine Learning Engineer
SIGNAL PROCESSING,Supply Chain Analyst,Operations Manager
AUTOMATA THEORY ,Cloud Architect,AI Specialist
CMOS MIXED SIGNAL DESIGN,Civil Engineer,Construction Manager
COMPILER DESIGN,Legal Researcher,Patent Analyst
HUMAN COMPUTER INTERACTION,Product Manager,Robotics Engineer
DATA SCIENCE,Lab Technician,Systems Architect
MACHINE LEARNING,Systems Architect,Project Manager
DIGITAL CONTROL,Healthcare Data Analyst,Pharmaceutical Scientist
ARTIFICIAL INTELLIGENCE,Mathematics Tutor,Software Developer
WEB TECHNOLOGIES,Chemical Engineer,Materials Scientist
PROJECT STAGE I,SEO Analyst,Marketing Manager
MAJOR PROJECT 1,Systems Architect,Project Manager
ADVANCED JAVA,Business Analyst,Product Manager
ANALOG COMMUNICATION,Automation Specialist,Web Developer
MINI PROJECT,Chemical Engineer,Materials Scientist
SIGNAL PROCESSING AND COMMUNICATION LAB,Operations Manager,Quality Assurance Engineer
LATEX,Network Engineer,Technical Writer
SEMINAR,Operations Manager,Quality Assurance Engineer
INDUSTRY INTERNSHIP,Business Analyst,Product Manager
ENGINEERING LAB,Business Analyst,Product Manager
GENERAL SEMINAR - II,Quality Assurance Engineer,Compliance Officer
HEAT TRANSFER,Industrial Engineer,Production Manager
METROLOGY AND MEASUREMENT TECHNIQUES,Materials Scientist,Process Engineer
CHEMISTRY,Healthcare Data Analyst,Pharmaceutical Scientist
MASS TRANSFER OPERATIONS,Legal Researcher,Patent Analyst
CHEMICAL TECHNOLOGY,SEO Analyst,Marketing Manager
SEPARATION TECHNIQUES,Lab Technician,Systems Architect
CHEMICAL REACTION ENGINEERING,Lab Technician,Systems Architect
COMPUTER PROGRAMMING,Lab Technician,Systems Architect
APPLIED PROBABILITY AND STATISTICS,Civil Engineer,Construction Manager
MATHEMATICAL TRANSFORMS AND APPLICATIONS,Machine Learning Engineer,Software Engineer
THEORY OF COMPUTATION,Embedded Systems Engineer,Machine Learning Engineer
APPLIED ELECTRONICS,Robotics Engineer,Automation Specialist
OPERATING SYSTEM,Operations Manager,Quality Assurance Engineer
COMPUTER NETWORK,Lab Technician,Systems Architect
ADVANCED DATA STRUCTURES,SEO Analyst,Marketing Manager
MOBILE COMPUTING,Digital Marketing Specialist,SEO Analyst
INFORMATION RETRIEVAL,Data Engineer,DevOps Engineer
SEMICONDUCTOR DEVICES AND CIRCUITS,Cybersecurity Specialist,Network Engineer
LINEAR ALGEBRA AND STATISTICS,Urban Planner,Energy Analyst
SIGNAL AND SYSTEMS,Embedded Systems Engineer,Machine Learning Engineer
DATA STRUCTURE AND ALGORITHMS,Pharmaceutical Scientist,UX Designer
NETWORKS AND LINES,Data Scientist,Quantitative Analyst
CONTROL SYSTEMS,Process Engineer,Industrial Engineer
MICROCONTROLLER & APPLICATIONS,Energy Analyst,Chemical Engineer
DIGITAL SIGNAL PROCESSING,HR Manager,Supply Chain Analyst
COMPUTER ARCHITECTURE AND OPERATING SYSTEM,Database Administrator,Cybersecurity Specialist
CODING & DATA COMPRESSION,Energy Analyst,Chemical Engineer
ELECTRONIC CIRCUIT DESIGN,Project Manager,Database Administrator
WIRELESS COMMUNICATION,Bioinformatics Scientist,Biostatistician
MICROWAVE ENGINEERING,Cloud Architect,AI Specialist
ADVANCE ALGEBRA AND ANALYTICAL GEOMETRY,Web Developer,Data Engineer
DIFFERENTIAL AND INTEGRAL CALCULUS,Biostatistician,Environmental Consultant
MODERN PHYSICS,Systems Architect,Project Manager
ELECTRICAL TECHNOLOGY,Robotics Engineer,Automation Specialist
QUANTITATIVE APTITUDE-1,Civil Engineer,Construction Manager
OPTIMIZATION AND SIMULATION,Digital Marketing Specialist,SEO Analyst
MATERIAL MANAGEMENT AND LOGISTICS,Energy Analyst,Chemical Engineer
KINEMATICS AND MECHANISMS,HR Manager,Supply Chain Analyst
THERMAL ENGINEERING,Database Administrator,Cybersecurity Specialist
FLUID MACHINERY AND FLUID POWER ENGINEERING,Product Manager,Robotics Engineer
MECHANICAL DESIGN,Supply Chain Analyst,Operations Manager
DESIGN OF MACHINE ELEMENTS,Operations Manager,Quality Assurance Engineer
INTERNAL COMBUSTION ENGINE,Civil Engineer,Construction Manager
PRODUCTION TECHNOLOGY,HR Manager,Supply Chain Analyst
MECHATRONICS,Construction Manager,Urban Planner
PRODUCTION METALLURGY,Pharmaceutical Scientist,UX Designer
FINITE ELEMENT METHOD,Web Developer,Data Engineer
OPTIMIZATION TECHNIQUES,Compliance Officer,Regulatory Affairs Specialist
ELECTRONIC INSTRUMENTATION AND MEASUREMENT,Automation Specialist,Web Developer
PHYSICAL AND INORGANIC CHEMISTRY,Embedded Systems Engineer,Machine Learning Engineer
COSTING & COST CONTROL,Industrial Engineer,Production Manager
ENGINEERING GRAPHICS,Healthcare Data Analyst,Pharmaceutical Scientist
ELECTRICAL ENGINEERING FUNDAMENTALS,Quality Assurance Engineer,Compliance Officer
PROCESS MEASUREMENTS,Automation Specialist,Web Developer
MECHANICAL MEASUREMENTS,Mechanical Engineer,Electrical Engineer
ANALOG CIRCUITS,Product Manager,Robotics Engineer
COMPREHENSIVE VIVA VOCE,Urban Planner,Energy Analyst
C#.NET,Compliance Officer,Regulatory Affairs Specialist
ENGINEERING DESIGN & DEVELOPMENT -I,Chemical Engineer,Materials Scientist
COMPUTER GRAPHICS,Digital Marketing Specialist,SEO Analyst
PRINCIPLES OF PROGRAMMING LANGUAGES,Chemical Engineer,Materials Scientist
TECHNICAL WRITING,HR Manager,Supply Chain Analyst
ELECTRICAL AND ELECTRONICS ENGINEERING,Healthcare Data Analyst,Pharmaceutical Scientist
FLUID-FLOW OPERATIONS,UX Designer,UI Developer
ORGANIC CHEMISTRY,Project Manager,Database Administrator
ELECTRICAL MACHINES,Research Scientist,Lab Technician
ENGINEERING & MANAGERIAL ECONOMICS,HR Manager,Supply Chain Analyst
PROBABILITY AND STATISTICS,Mathematics Tutor,Software Developer
CONTROL SYSTEM COMPONENTS,Automation Specialist,Web Developer
FLUID MACHINERY AND FLUID POWER,Software Developer,Embedded Systems Engineer
DIFFERENTIAL EQUATIONS AND VECTOR ANALYSIS,UI Developer,Full Stack Developer
DISSERTATION BY INTERNSHIP,Digital Marketing Specialist,SEO Analyst
DISSERTATION BY RESEARCH,Product Manager,Robotics Engineer
DISSERTATION STAGE - II,Network Engineer,Technical Writer
NUMERICAL METHODS FOR CHEMICAL ENGINEERING,Civil Engineer,Construction Manager
ADVANCES IN DATA STRUCTURES,HR Manager,Supply Chain Analyst
COMPUTER NETWORKS,Electrical Engineer,Civil Engineer
ENGINEERING DESIGN AND DEVELOPMENT 2,Operations Manager,Quality Assurance Engineer
MACHINE DESIGN,Network Engineer,Technical Writer
PARTIAL DIFFERENTIAL EQUATIONS AND NUMERICAL TECHNIQUES,Quality Assurance Engineer,Compliance Officer
GENERAL PROFICIENCY 2,Supply Chain Analyst,Operations Manager
PROFESSIONAL DEVELOPMENT 1,Financial Analyst,Mathematics Tutor
THERMAL AND FLUID ENGINEERING,Urban Planner,Energy Analyst
CASTING & JOINING TECHNOLOGIES,Energy Analyst,Chemical Engineer
MANUFACTURING PROCESSES & SYSTEMS,Research Scientist,Lab Technician
OPERATIONS MANAGEMENT,Product Manager,Robotics Engineer
SUPPLY CHAIN MANAGEMENT,HR Manager,Supply Chain Analyst
WORLD CLASS MANUFACTURING,Materials Scientist,Process Engineer
SUMMER TRAINING,Legal Researcher,Patent Analyst
ADDITIVE MANUFACTURING,Patent Analyst,Mechanical Engineer
RF CIRCUIT DESIGN,Marketing Manager,HR Manager
DIGITAL SYSTEM DESIGN,Bioinformatics Scientist,Biostatistician
INTERNET OF THINGS,Robotics Engineer,Automation Specialist
OPERATIONS SCHEDULING,SEO Analyst,Marketing Manager
DISSERTATION BY INTERNSHIP ,Quality Assurance Engineer,Compliance Officer
DISSERTATION BY RESEARCH ,Technical Writer,Business Analyst
ENGINEERING DESIGN & INNOVATION 1,Mathematics Tutor,Software Developer
DATA STRUCTURES-I,Business Analyst,Product Manager
DIGITAL ELECTRONICS AND LOGIC DESIGN,Biostatistician,Environmental Consultant
OBJECT ORIENTED PROGRAMMING,Network Engineer,Technical Writer
COMPUTER ORGANIZATION,Cybersecurity Specialist,Network Engineer
ENGINEERING DESIGN AND INNOVATION 1,Financial Analyst,Mathematics Tutor
COMPUTER PROGRAMING,Network Engineer,Technical Writer
ROBOT MECHANICS AND CONTROL,Construction Manager,Urban Planner
GRAPHICS AND MECHANICAL WORKSHOP,Software Developer,Embedded Systems Engineer
ENGINEERING DESIGN AND INNOVATION - I,Environmental Consultant,Healthcare Data Analyst
ADVANCE COMPUTER PROGRAMMING,Network Engineer,Technical Writer
GRAPHICS AND MECHATRONICS WORKSHOP,Cybersecurity Specialist,Network Engineer
MECHATRONICS AND ROBOTICS,Software Developer,Embedded Systems Engineer
ENGINEERING DESIGN AND INNOVATION - II,Energy Analyst,Chemical Engineer
REAL-TIME OPERATING SYSTEMS,Software Developer,Embedded Systems Engineer
ADVANCED POWER ELECTRONICS,Bioinformatics Scientist,Biostatistician
ADVANCE WEB TECHNOLOGY,Data Engineer,DevOps Engineer
IMAGE PROCESSING,Process Engineer,Industrial Engineer
DCS AND COMMUNICATION PROTOCOLS,Energy Analyst,Chemical Engineer
DATA ANALYTICS,Biostatistician,Environmental Consultant
FINANCIAL MANAGEMENT & COSTING,AI Specialist,Bioinformatics Scientist
MAJOR PROJECT 2,Quantitative Analyst,Financial Analyst
ENGINEERING DESIGN & INNOVATION 2,Construction Manager,Urban Planner
MACHINE DRAWING & COMPUTER GRAPHICS,Embedded Systems Engineer,Machine Learning Engineer
DATA STRUCTURES-II,Lab Technician,Systems Architect
DATA COMMUNICATION,Quality Assurance Engineer,Compliance Officer
MICROPROCESSORS AND INTERFACING,Bioinformatics Scientist,Biostatistician
INSTRUMENTATION AND PROCESS CONTROL,Marketing Manager,HR Manager
SOFTWARE DEVELOPMENT PROJECT,Embedded Systems Engineer,Machine Learning Engineer
MARKETING MANAGEMENT,Quality Assurance Engineer,Compliance Officer
CYBER SECURITY,Chemical Engineer,Materials Scientist
CLOUD COMPUTING,Quantitative Analyst,Financial Analyst
RESEARCH INTERNSHIP,Software Engineer,Research Scientist
DATA ANALYTICS FOR ENGINEERS,HR Manager,Supply Chain Analyst
DESIGN FOR X AND PRODUCT LIFE CYCLE MANAGEMENT,AI Specialist,Bioinformatics Scientist
MAJOR PROJECT,Mathematics Tutor,Software Developer
WORK SYSTEMS & ERGONOMIC DESIGN,Digital Marketing Specialist,SEO Analyst
FACILITIES & OPERATIONS MANAGEMENT,Operations Manager,Quality Assurance Engineer
MANUFACTURING SYSTEMS & STRATEGIES,Cloud Architect,AI Specialist
SOFTWARE APPLICATIONS IN INDUSTRIAL ENGINEERING,Environmental Consultant,Healthcare Data Analyst
ENGINEERING DESIGN AND INNOVATION - III,Supply Chain Analyst,Operations Manager
ENGINEERING DESIGN-I,Patent Analyst,Mechanical Engineer
DIE & MOLD DESIGN,Energy Analyst,Chemical Engineer
METAL CUTTING & MACHINE TOOL DESIGN,Quantitative Analyst,Financial Analyst
SOFTWARE APPLICATIONS IN MANUFACTURING ENGINEERING,Lab Technician,Systems Architect
MAJOR PROJECT ,Construction Manager,Urban Planner
INTERNATIONAL INTERNSHIP,Embedded Systems Engineer,Machine Learning Engineer
IMAGE PROCESSING AND CV,Industrial Engineer,Production Manager
INDUSTRIAL ELECTRONICS,UI Developer,Full Stack Developer
PLANT ENGINEERING AND PROJECT ECONOMICS,Quality Assurance Engineer,Compliance Officer
TRANSPORT PHENOMENA,SEO Analyst,Marketing Manager
PROJECT INTERNSHIP,Operations Manager,Quality Assurance Engineer
PROCESS EQUIPMENT DESIGN,Software Developer,Embedded Systems Engineer
MODELING AND SIMULATIONS,Industrial Engineer,Production Manager
CAD/CAM/CAE,Construction Manager,Urban Planner
COMPUTATIONAL FLUID DYNAMICS,Software Developer,Embedded Systems Engineer
VIBRATION ANALYSIS,Mechanical Engineer,Electrical Engineer
REFRIGERATION AND AIR CONDITIONING,Operations Manager,Quality Assurance Engineer
HYDRAULIC MACHINES AND FLUID POWER,Network Engineer,Technical Writer
DYNAMICS OF MACHINES,Healthcare Data Analyst,Pharmaceutical Scientist
HYBRID AND ELECTRIC VEHICLES,Supply Chain Analyst,Operations Manager
APPLIED THERMAL ENGINEERING,Process Engineer,Industrial Engineer
METROLOGY AND QUALITY CONTROL,Robotics Engineer,Automation Specialist
MODELING & SIMULATION OF MECHANICAL SYSTEMS,Compliance Officer,Regulatory Affairs Specialist
INDUSTRIAL AUTOMATION,Embedded Systems Engineer,Machine Learning Engineer
NATURAL LANGUAGE PROCESSING,Healthcare Data Analyst,Pharmaceutical Scientist
ADVANCED COMMUNICATION ENGINEERING,HR Manager,Supply Chain Analyst
DEEP LEARNING,Cybersecurity Specialist,Network Engineer
CMOS RF INTEGRATED CIRCUITS,Software Developer,Embedded Systems Engineer
PARALLEL COMPUTING,Project Manager,Database Administrator
ENGINEERING DESIGN AND INNOVATION - V,Business Analyst,Product Manager
EMBEDDED SYSTEM DESIGN,HR Manager,Supply Chain Analyst
SOFTWARE DEVELOPMENT PROJECT - I,Embedded Systems Engineer,Machine Learning Engineer
COMPUTER NETWORK TECHNOLOGY,AI Specialist,Bioinformatics Scientist
SYSTEM SOFTWARE,Embedded Systems Engineer,Machine Learning Engineer
DESIGN AND ANALYSIS OF ALGORITHMS,Automation Specialist,Web Developer
AUTOMATED SOFTWARE ENGINEERING,Bioinformatics Scientist,Biostatistician
COMPUTER INTEGRATED MANUFACTURING,Biostatistician,Environmental Consultant
PARTICULATE TECHNOLOGY,Materials Scientist,Process Engineer
PHYSICAL AND ORGANIC CHEMISTRY,SEO Analyst,Marketing Manager
ENGINEERING DESIGN AND INNOVATION - IV,Civil Engineer,Construction Manager
COMPUTER ARCHITECTURE & OPERATING SYSTEMS,Chemical Engineer,Materials Scientist
DATA COMMUNICATION AND NETWORKS,UI Developer,Full Stack Developer
SOFTWARE DEVELOPMENT PROJECT ,Software Engineer,Research Scientist
ENGINEERING DESIGN AND INNOVATION ,Marketing Manager,HR Manager
FLUID ENGINEERING,Quality Assurance Engineer,Compliance Officer
THERMODYNAMICS,Regulatory Affairs Specialist,Legal Researcher
ANALYSIS AND SIMULATION OF MACHINES AND MECHANISMS,Process Engineer,Industrial Engineer
PRODUCT DESIGN & MODELING,UX Designer,UI Developer
ENGINEERING DESIGN AND INNOVATION- IV,HR Manager,Supply Chain Analyst
COMPUTER ARCHITECTURE AND OPERATING SYSTEMS,Financial Analyst,Mathematics Tutor
COMMUNICATION ENGINEERING,Full Stack Developer,Digital Marketing Specialist
SIGNAL AND IMAGE PROCESSING,Systems Architect,Project Manager
DATA STRUCTURES ,Healthcare Data Analyst,Pharmaceutical Scientist
DATA COMMUNICATION AND NETWORKING ,Machine Learning Engineer,Software Engineer
ENGINEERING DESIGN AND INNOVATION - 1,Environmental Consultant,Healthcare Data Analyst
ENGINEERING DESIGN - I,Materials Scientist,Process Engineer
MECHANICAL AND SYSTEM ENGINEERING,Quality Assurance Engineer,Compliance Officer
ROBOTICS,Cloud Architect,AI Specialist
SOFTWARE DEVELOPMENT PROJECT - II,Energy Analyst,Chemical Engineer
COMPUTER VISION,Automation Specialist,Web Developer
DIGITAL DESIGN,Lab Technician,Systems Architect
MECHANICAL SYSTEM DESIGN,Research Scientist,Lab Technician
SOFTWARE DESIGN-I,Data Engineer,DevOps Engineer
SOFTWARE DESIGN - I,HR Manager,Supply Chain Analyst
SOFTWARE DEVELOPMENT PROJECT-I,Compliance Officer,Regulatory Affairs Specialist
ENGINEERING DESIGN & INNOVATION ,Full Stack Developer,Digital Marketing Specialist
ENGINEERING DESIGN AND INNOVATION-III,Materials Scientist,Process Engineer
POWER PLANT ENGINEERING,SEO Analyst,Marketing Manager
PROJECT MANAGEMENT,Network Engineer,Technical Writer
BUSINESS PROPOSAL WRITING,Project Manager,Database Administrator
COGNITIVE APTITUDE,Product Manager,Robotics Engineer
HUMAN ENGINEERING,Robotics Engineer,Automation Specialist
MOBILE APPLICATION DEVELOPMENT,Software Engineer,Research Scientist
PROBLEM SOLVING AND PROGRAMMING,Operations Manager,Quality Assurance Engineer
ROBOT: MECHANICS AND ELECTRONICS,UI Developer,Full Stack Developer
CAPSTONE PROJECT 1,Biostatistician,Environmental Consultant
GENERAL PROFICIENCY AND PROFESSIONAL DEVELOPMENT,Data Engineer,DevOps Engineer
ENGINEERING MATHEMATICS,Quality Assurance Engineer,Compliance Officer
SYSTEMS ENGINEERING,Legal Researcher,Patent Analyst
LINEAR ALGEBRA AND APPLIED  STATISTICS,Patent Analyst,Mechanical Engineer
SOFTWARE DEVELOPMENT PROJECT I,Business Analyst,Product Manager
PROGRAMMING IN C,Automation Specialist,Web Developer
DATABASE MANAGEMENT SYSTEM ,Compliance Officer,Regulatory Affairs Specialist
WEB TECHNOLOGY,UI Developer,Full Stack Developer
SOFTWARE ENGINEERING & PROJECT MANAGEMENT,Cybersecurity Specialist,Network Engineer
DISCRETE STRUCTURES,Compliance Officer,Regulatory Affairs Specialist
COMPUTER AIDED ENGINEERING,Environmental Consultant,Healthcare Data Analyst
MECHANICAL DESIGN AND ANALYSIS,UX Designer,UI Developer
POWER ELECTRONICS AND DRIVES,Mechanical Engineer,Electrical Engineer
BUILDING AND PROCESS AUTOMATION,Urban Planner,Energy Analyst
INSTRUMENTATION PROJECT ENGINEERING,UI Developer,Full Stack Developer
BATCH PROCESS CONTROL,Materials Scientist,Process Engineer
WEB TECHNOLOGY AND CLOUD COMPUTING,Data Scientist,Quantitative Analyst
SOFTWARE DESIGN AND METHDOLOGIES,Legal Researcher,Patent Analyst
ENGINEERING DESIGN AND INNOVATION-IV,DevOps Engineer,Cloud Architect
DISTRIBUTED COMPUTING,Materials Scientist,Process Engineer
LOGISTICS & SUPPLY CHAIN MANAGEMENT,Digital Marketing Specialist,SEO Analyst
STATISTICAL QUALITY & RELIABILITY ENGINEERING,Chemical Engineer,Materials Scientist
WORLD CLASS MANUFACTURING & INDUSTRY 4.0,Automation Specialist,Web Developer
OPERATIONS MODELING & SIMULATION,Mathematics Tutor,Software Developer
ENGINEERING DESIGN AND INNOVATION-VI,Mathematics Tutor,Software Developer
MANUFACTURING AUTOMATION,Pharmaceutical Scientist,UX Designer
ADVANCED MANUFACTURING PROCESSES,Web Developer,Data Engineer
COMPUTER AIDED ENGINEERING ANALYSIS,Web Developer,Data Engineer
MANUFACTURING TECHNOLOGY,Embedded Systems Engineer,Machine Learning Engineer
KINEMATICS & THERMO-FLUID MACHINES,Research Scientist,Lab Technician
ENGINEERING DESIGN AND INNOVATION - VI,Biostatistician,Environmental Consultant
SOFTWARE DEVELOPMENT PROJECT-II,SEO Analyst,Marketing Manager
PROCESS ENGINEERING & TECHNOLOGY MANAGEMENT,Urban Planner,Energy Analyst
MECHATRONICS & INDUSTRIAL ROBOTICS,Operations Manager,Quality Assurance Engineer
ALGORITHMS AND COMPLEXITY,Operations Manager,Quality Assurance Engineer
ADVANCES IN MACHINE LEARNING,Embedded Systems Engineer,Machine Learning Engineer
SOFTWARE DEVELOPMENT PROJECT II,Healthcare Data Analyst,Pharmaceutical Scientist
DATA STRUCTURES USING PYTHON,UX Designer,UI Developer
CAPSTONE PROJECT 2,Operations Manager,Quality Assurance Engineer
C++ AND CORE JAVA PROGRAMMING,Patent Analyst,Mechanical Engineer
COMPUTER ARCHITECTURE,Bioinformatics Scientist,Biostatistician
ADVANCED DBMS,Lab Technician,Systems Architect
QUANTITATIVE TECHNIQUES,Civil Engineer,Construction Manager
DESIGN AND INNOVATION,Industrial Engineer,Production Manager
ADVANCED MEASUREMENTS AND DATA ANALYSIS,Materials Scientist,Process Engineer
ADVANCED ANALYSIS AND SYNTHESIS OF MECHANISMS,Civil Engineer,Construction Manager
ADVANCED STRESS ANALYSIS,Cloud Architect,AI Specialist
VIBRATION AND NOISE CONTROL,Operations Manager,Quality Assurance Engineer
3D PRINTING,Technical Writer,Business Analyst
SOLID MODELING AND COMPUTATIONAL ANALYSIS,Mathematics Tutor,Software Developer
COMPUTER ORGANIZATION AND ARCHITECTURE,Software Developer,Embedded Systems Engineer
DIGITAL SYSTEMS,SEO Analyst,Marketing Manager
SOFTWARE ENGINEERING,Environmental Consultant,Healthcare Data Analyst
DATABASE MANAGEMENT SYSTEM,Marketing Manager,HR Manager
DISCRETE STRUCTURE AND AUTOMATA THEORY,Lab Technician,Systems Architect
DATABASE MANANGEMENT AND DATA MINING,Quantitative Analyst,Financial Analyst
CHEMICAL PROCESS TECHNOLOGY,Database Administrator,Cybersecurity Specialist
ADVANCED JAVA PROGRAMMING,Full Stack Developer,Digital Marketing Specialist
COMPUTER NETWORKS AND SECURITY,Operations Manager,Quality Assurance Engineer
INDUSTRY 4.0,Financial Analyst,Mathematics Tutor
ELECTRIC VEHICLES,Compliance Officer,Regulatory Affairs Specialist
MATERIALS AND PROCESS ENGINEERING,Full Stack Developer,Digital Marketing Specialist
DATABASE MANAGEMENT SYSTEM AND DATA MINING,UI Developer,Full Stack Developer
ADVANCED ROBOTICS & DIGITAL MANUFACTURING,Construction Manager,Urban Planner
METROLOGY & QUALITY MANAGEMENT,Electrical Engineer,Civil Engineer
PROCESS INSTRUMENTATION,Cloud Architect,AI Specialist
MEASUREMENT SYSTEMS,Business Analyst,Product Manager
CONTROL THEORY,Patent Analyst,Mechanical Engineer
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,Mathematics Tutor,Software Developer
SOFTWARE DEVELOPMENT PROJECT - III,Marketing Manager,HR Manager
DESIGN AND ANALYSIS OF ALGORITHM,Data Engineer,DevOps Engineer
ENGINEERING DESIGN AND INNOVATION-V,Technical Writer,Business Analyst
SOFTWARE MODELING AND DESIGN,Network Engineer,Technical Writer
ENGINEERING APPLICATIONS OF DATA SCIENCE,Business Analyst,Product Manager
HYBRID VEHICLES,Lab Technician,Systems Architect
MACHINE INTELLIGENCE,Process Engineer,Industrial Engineer
BIOPROCESS ENGINEERING,Data Engineer,DevOps Engineer
NANOSCIENCE AND NANOTECHNOLOGY,Mathematics Tutor,Software Developer
DESIGN THINKING 1,Data Scientist,Quantitative Analyst
YOGA,Cloud Architect,AI Specialist
VB.NET,HR Manager,Supply Chain Analyst
STRUTS FRAMEWORK,Quality Assurance Engineer,Compliance Officer
STRENGTH OF MATERIALS,Machine Learning Engineer,Software Engineer
STATISTICAL METHODS & RESEARCH METHODOLOGY,Lab Technician,Systems Architect
SOFTWARE TESTING AND QUALITY ASSURANCE,Financial Analyst,Mathematics Tutor
SOFTWARE PROJECT MANAGEMENT,Supply Chain Analyst,Operations Manager
SOFTWARE DESIGN  AND  ARCHITECTURE,Pharmaceutical Scientist,UX Designer
QUANTITATIVE APTITUDE-2,Lab Technician,Systems Architect
Pspice based circuit simulation,Network Engineer,Technical Writer
PROJECT STAGE III,Mathematics Tutor,Software Developer
OPERATION RESEARCH,Cloud Architect,AI Specialist
OPERATING SYSTEMS & COMPUTER NETWORKS,Regulatory Affairs Specialist,Legal Researcher
OBJECT ORIENTED DESIGN AND PROGRAMMING,Mathematics Tutor,Software Developer
NETWORK SECURITY,Quality Assurance Engineer,Compliance Officer
NANOTECHNOLOGY,Cloud Architect,AI Specialist
MICROPROCESSOR AND INTERFACING,UX Designer,UI Developer
MEASUREMENT & QUALITY CONTROL,Quality Assurance Engineer,Compliance Officer
MATHEMATICS FOR ENGINEERING APPLICATIONS,Biostatistician,Environmental Consultant
